Автор,Пол,Название,Год издания,Тираж,Место издания,Для младшего возраста,Для среднего возраста,Для старшего возраста,Примечания
"Абрамов, В.",М,Детские странствия,1959,200000,Москва,0,1,0,
"Александровский, В.",М,Когда нам семнадцать…,1959,15000,Хабаровск,0,0,1,
"Александровский, В.",М,Когда нам семнадцать…,1960,115000,Москва,0,1,1,
"Алексин, А.",М,Важный звонок,1959,225000,Москва,1,0,0,
"Алексин, А.",М,Говорит седьмой этаж,1959,115000,Москва,1,1,0,
"Алексин, А.",М,Необычайные похождения Севы Котлова,1958,165000,Москва,0,0,1,
"Аленник, А; Аленник, Э.",М;Ж,Семь приключений Серёжи Стульчикова,1960,115000,Ленинград,1,0,0,
"Алфёров, В.",М,На рыбалке,1959,30000,Куйбышев,0,1,0,
"Алфимов, Е.",М,Дорога домой,1958,100000,Смоленск,1,1,0,
"Аметова, И; Аметова, Э.",Ж;Ж,Борька,1959,15000,Владивосток,0,1,0,
"Амусина, Р.",Ж,Круглая корзинка,1960,100000,Ленинград,1,0,0,
"Андронов, С.",М,Тринадцать мальчишеских лет,1960,15000,Воронеж,0,1,0,
"Анисимова, А.",Ж,Голубое перо,1959,90000,Пенза,1,0,0,
"Аношкин, М.",М,Приключения Герки и Павлика на Увильдах,1959,15000,Челябинск,0,1,0,
"Антонов, С.",М,Встреча в Кремле,1960,115000,Москва,1,0,0,
"Антонов, С.",М,Валет и Пушок,1960,115000,Москва,1,1,0,
"Антонов, С.",М,Дальний путешественник,1960,15000,Ташкент,1,1,0,
"Ардаматский, В.",М,"Он сделал всё, что мог",1960,195000,Москва,0,0,1,
"Артищев, М.",М,Записки семиклассника,1959,15000,Оренбург,0,1,0,
"Артюхова, Н.",Ж,Новые соседи,1960,430000,Москва,1,0,0,
"Артюхова, Н.",Ж,Светлана,1958,75000,Москва,0,0,1,
"Астафьев, В.",М,Тёплый дождь,1958,115000,Москва,1,0,0,
"Баныкин, В.",М,Мачеха,1960,150000,Москва,0,1,0,
"Баруздин, С.",М,Про Светлану,1958,50000,Минск,1,1,0,
"Бедарев, О.",М,Мы с Витькой,1959,30000,Москва,1,0,0,
"Бедарев, О.",М,Я сын моряка,1960,300000,Москва,1,0,0,
"Берносевич, Г.",Ж,Старший брат,1959,20000,Минск,1,0,0,
"Богданов, Н.",М,Когда я был вожатым,1961,115000,Москва,0,1,0,
"Богушевич, Ю.",М,Дерево дружбы,1959,50000,Минск,0,1,1,
"Боричевская, Е.",Ж,"Девятый ""Б""",1959,20000,Минск,0,0,1,
"Бременер, М.",М,Лешкина переэкзаменовка,1958,500000,Москва,1,0,0,
"Бременер, М.",М,Передача ведётся из класса,1959,30000,Москва,0,0,1,
"Верейская, Е.",Ж,Таня-революционерка,1958,12000,Фрунзе,1,0,0,
"Верейская, Е.",Ж,Три девочки. История одной квартиры.,1958,115000,Ленинград,0,1,0,
"Верлинский, В.",М,Новый край,1960,120000,Москва,1,0,0,
"Волошин, А.",М,Павлушка,1958,30000,Кемерово,1,0,0,
"Воронкова, Л.",Ж,Девочка из города,1960,7000,Ереван,0,1,0,
"Гайдар, А.",М,Дым в лесу,1960,15000,Ташкент,1,0,0,
"Гайдар, А.",М,Тимур и его команда,1959,75000,Пермь,0,1,0,
"Гайдар, А.",М,Чук и Гек,1960,10000,Ереван,0,1,0,
"Гайдар, А.",М,Школа,1960,75000,Иваново,0,1,0,
"Гасенко, Г.",М,Дед Матвей и Вовка,1959,15000,Ростов на Дону,0,1,0,
"Георгиевская, С.",Ж,Отрочество,1960,75000,Москва,0,1,0,
"Гехт, С.",М,Три плова,1959,75000,Москва,0,1,0,
"Голявкин, В.",М,Наши с Вовкой разговоры,1960,215000,Ленинград,1,0,0,
"Голявкин, В.",М,Тетрадки под дождём,1959,11500,Ленинград,1,0,0,
"Горбовцев, М.",М,Мишкино детство,1959,200000,Москва,0,1,0,
"Горбунов, Н.",М,Витька-тренер,1958,75000,Москва,0,1,1,
"Греков, А.",М,Мои товарищи,1960,85000,Москва,0,1,0,
"Губарев, В.",М,Трое на острове,1959,115000,Москва,1,0,0,
"Давыдов, И.",М,Ребята с нашего двора,1959,15000,Пенза,1,0,0,
"Дальний, Б.",М,Трое отважных,1958,30000,Воронеж,0,1,0,
"Дик, И.",М,Девчонки и мальчишки,1960,115000,Москва,1,1,0,
"Диковский, С.",М,Патриоты,1958,50000,Москва,0,1,0,
"Добряков, В.",М,Староста класса,1959,30000,Киев,0,1,0,
"Достян, Р.",Ж,Два человека,1958,30000,Ленинград,0,1,1,
"Достян, Р.",Ж,Нежданный друг,1959,215000,Ленинград,1,0,0,
"Дубов, Н.",М,Сирота,1958,50000,Киев,0,0,1,
"Дудников, Д.",М,Вовка,1958,45000,Краснодар,1,0,0,
"Дягилев, В.",М,Таня номер два,1959,200000,Москва,1,0,0,
"Езерская, Г.",Ж,Маринкины друзья,1959,30000,Тула,1,0,0,
"Елагин, В.",М,Когда тебе будет семнадцать,1960,15000,Москва,0,1,0,
"Заботин, И.",М,Скоро в школу,1958,15000,Казань,1,0,0,
"Иванов, И.",М,Гришкино ученье,1958,15000,Свердловск,0,1,0,
"Каверин, В.",М,Юность Тани,1958,75000,Москва,0,0,1,
"Кардашова, А.",Ж,Большой день в жизни Кости,1960,90000,Москва,0,1,0,
"Кассиль, Л.",М,Дорогие мои мальчишки,1959,50000,Ташкент,1,0,0,
"Киселев, В.",М,Первая песня,1960,115000,Москва,1,0,0,
"Кожевников, В.",М,Заре навстречу,1958,200000,Москва,0,1,0,
"Кожевников, В.",М,Заре навстречу,1959,20000,Москва,0,1,0,
"Кожевников, В.",М,Март - апрель,1960,130000,Москва,0,1,0,
"Козлов, В.",М,Валерка-председатель,1960,115000,Ленинград,1,0,0,
"Колосов, А.",М,Девочка из Полесья,1959,75000,Москва,0,1,0,
"Колосов, М.",М,Мальчишка,1958,30000,Курск,0,1,0,
"Колосов, М.",М,Мальчишка,1960,30000,Ленинград,0,1,0,
"Коновалов, Гр.",М,Вчера,1960,75000,Саратов,0,1,1,
"Кононов, А.",М,Верное сердце,1958,50000,Минск,0,1,0,
"Корнилова, М.",Ж,Катя из Мичуринска,1960,30000,Ташкент,0,0,1,
"Котовщикова, А.",Ж,Странная девочка,1959,115000,Ленинград,1,0,0,
"Крутиков, А.",М,Повесть о детстве,1959,15000,Свердловск,0,1,1,
"Кудряшова, С.",Ж,Мальчишки и девчонки,1958,45000,Краснодар,0,1,0,
"Кукуев, Л.",М,Девчонкам и мальчишкам,1959,30000,Иркутск,1,0,0,
